"id_rota,N,10,0","vl_codigo_,C,15","id_versao_,N,10,0","id_versao1,N,10,0","vl_km_inic,N,19,8","vl_km_fina,N,19,8"
50731,116BSC202507A,80,0,0,310.5
50811,116BSP202507A,80,0,0,569.6
50746,116CBA10202507A,80,0,0,14.9
50202,116CPR10202507A,80,0,0,52.7
50442,116CRS10202507A,80,0,0,47.5
50163,116NBA10202507A,80,0,0,29.9
50583,116UCE10202507A,80,0,0,3.9
50473,116UCE20202507A,80,0,0,6.4
50546,116UCE30202507A,80,0,0,2.3
50245,116UMG10202507A,80,0,0,3.41
50518,116VPR10202507A,80,0,0,11.9
50471,116VRJ10202507A,80,0,0,8.2
50713,120BMG202507A,80,0,0,813.8
50172,120BRJ202507A,80,0,0,180.1
50532,122BBA202507A,80,0,0,879.9
50417,122BCE202507A,80,0,0,448.4
50315,122BMG202507A,80,0,0,283.3
50619,122BPE202507A,80,0,0,313
50821,122CBA10202507A,80,0,0,8.3
50509,122CPE20202507A,80,0,0,8.6
50343,135ABA10202507A,80,0,0,1.3
50401,135ABA20202507A,80,0,0,0.3
50293,135ABA30202507A,80,0,0,3.2
50568,135AMA10202507A,80,0,0,24.4
50754,135AMA20202507A,80,0,0,0.7
50196,135AMA30202507A,80,0,0,2
50328,135AMA40202507A,80,0,0,0.8
50376,135BBA202507A,80,0,0,479.7
50658,135BMA202507A,80,0,0,603.9
50307,135BMG202507A,80,0,0,783.3
50628,135BPI202507A,80,0,0,648
50640,135CBA10202507A,80,0,0,6.3
50646,135CMG10202507A,80,0,0,4.1
50351,135CMG20202507A,80,0,0,1.9
50370,135CMG30202507A,80,0,0,1.6
50767,135CMG40202507A,80,0,0,3.7
50131,135CMG50202507A,80,0,0,11.6
50729,135CMG60202507A,80,0,0,30.6
50655,146BMG202507A,80,0,0,726.8
50589,146BSP202507A,80,0,0,61.2
50436,153APR10202507A,80,0,0,5.7
50251,153APR20202507A,80,0,0,4.3
50827,153ARS10202507A,80,0,0,8.7
50179,153ASP10202507A,80,0,0,2.1
50382,153BGO202507A,80,0,0,703.6
50502,153BMG202507A,80,0,0,247
50366,153BPA202507A,80,0,0,152.1
50269,153BPR202507A,80,0,0,524.5
50538,153BRS202507A,80,0,0,694
50620,153BSC202507A,80,0,0,120
50786,153BSP202507A,80,0,0,347.3
50528,153BTO202507A,80,0,0,801.9
50800,153CPR10202507A,80,0,0,12
50173,153UTO10202507A,80,0,0,1.6
50337,154BGO202507A,80,0,0,41
50481,154BMG202507A,80,0,0,215
50145,154BSP202507A,80,0,0,270.3
50717,155BPA202507A,80,0,0,344.4
50715,156AAP10202507A,80,0,0,5.6
50742,156BAP202507A,80,0,0,822.9
50738,156BPA202507A,80,0,0,300
50698,158APR20202507A,80,0,0,4.8
50548,158ARS10202507A,80,0,0,1.4
50496,158ARS20202507A,80,0,0,3.3
50516,158ARS30202507A,80,0,0,3.4
50625,158BGO202507A,80,0,0,457.1
50267,158BMS202507A,80,0,0,360.6
50305,158BMT202507A,80,0,0,806.7
50157,158BPA202507A,80,0,0,889.6
50725,158BPR202507A,80,0,0,565.4
50438,158BRS202507A,80,0,0,570.1
50550,158BSC202507A,80,0,0,152.6
50685,158BSP202507A,80,0,0,180.1
50632,158CMS10202507A,80,0,0,14.4
50316,158CMT10202507A,80,0,0,190.1
50593,158CPR10202507A,80,0,0,19.2
50192,163AMS10202507A,80,0,0,0.6
50571,163AMS20202507A,80,0,0,1.4
50609,163AMS30202507A,80,0,0,3.3
50557,163APA10202507A,80,0,0,16.5
50219,163APR10202507A,80,0,0,4.2
50479,163ASC10202507A,80,0,0,3.6
50134,163BMS202507A,80,0,0,850.1
50348,163BMT202507A,80,0,0,1131.4
50142,163BPA202507A,80,0,0,2000.7
50264,163BPR202507A,80,0,0,354.2
50815,163BRS202507A,80,0,0,26
50363,163BSC202507A,80,0,0,125.1
50759,163CMT10202507A,80,0,0,51.9
50544,163CMT20202507A,80,0,0,12.1
50485,163CPR10202507A,80,0,0,7.5
50253,163CPR20202507A,80,0,0,7.7
50347,163CPR30202507A,80,0,0,7.6
50700,163UMT10202507A,80,0,0,1.6
50796,163UMT20202507A,80,0,0,6.5
50423,163UMT30202507A,80,0,0,2.4
50732,163UMT40202507A,80,0,0,3.1
50592,163UPR10202507A,80,0,0,2
50670,163VMT10202507A,80,0,0,7.7
50612,163VMT20202507A,80,0,0,10.5
50458,174AMT10202507A,80,0,0,81.4
50819,174ARR10202507A,80,0,0,12
50265,174BAM202507A,80,0,0,1140.2
50237,174BMT202507A,80,0,0,1238.7
50596,174BRO202507A,80,0,0,78.9
50457,174BRR202507A,80,0,0,715.7
50781,174UMT10202507A,80,0,0,3.7
50359,210BAM202507A,80,0,0,878.8
50616,210BAP202507A,80,0,0,471.2
50396,210BPA202507A,80,0,0,589.6
50480,210BRR202507A,80,0,0,528.2
50259,222ACE30202507A,80,0,0,3.8
50235,222AMA10202507A,80,0,0,1.4
50682,222BCE202507A,80,0,0,348.7
50309,222BMA202507A,80,0,0,739.4
50415,222BPA202507A,80,0,0,510.7
50711,222BPI202507A,80,0,0,219.9
50701,222UCE10202507A,80,0,0,4
50801,222UPI10202507A,80,0,0,3.9
50218,222VCE10202507A,80,0,0,1.2
50782,226BCE202507A,80,0,0,397.7
50650,226BMA202507A,80,0,0,599.1
50688,226BPI202507A,80,0,0,278.4
50314,226BRN202507A,80,0,0,424.1
50466,226BTO202507A,80,0,0,71.3
50468,226CCE10202507A,80,0,0,6.1
50474,226CCE20202507A,80,0,0,5.3
50730,226CRN10202507A,80,0,0,11.6
50344,230ACE10202507A,80,0,0,5.9
50148,230APA10202507A,80,0,0,8.3
50547,230APA20202507A,80,0,0,14.5
50137,230APB10202507A,80,0,0,3.2
50668,230APB20202507A,80,0,0,1.7
50622,230BAM202507A,80,0,0,1518.4
50262,230BCE202507A,80,0,0,243.1
50627,230BMA202507A,80,0,0,669.8
50697,230BPA202507A,80,0,0,1592
50529,230BPB202507A,80,0,0,517
50221,230BPI202507A,80,0,0,310.5
50247,230BTO202507A,80,0,0,146.4
50165,230CCE10202507A,80,0,0,8
50508,230CCE20202507A,80,0,0,5.8
50294,230CMA10202507A,80,0,0,10.5
50810,230CMA20202507A,80,0,0,1.4
50808,230CPA10202507A,80,0,0,9.8
50829,230CPB08202507A,80,0,0,0
50728,230CPB10202507A,80,0,0,8
50695,230CPB20202507A,80,0,0,7.3
50153,230CPB30202507A,80,0,0,6.1
50560,230CPB40202507A,80,0,0,4.8
50561,230CPB50202507A,80,0,0,5.1
50171,230CPB60202507A,80,0,0,4
50764,230CPB70202507A,80,0,0,6.9
50447,230CPB80202507A,80,0,0,2.6
50779,230CPB90202507A,80,0,0,2.6
50463,230CPI10202507A,80,0,0,6.5
50807,230CPI20202507A,80,0,0,5.9
50360,230CPI30202507A,80,0,0,2.1
50428,230CPI40202507A,80,0,0,4.2
50332,230CPI50202507A,80,0,0,3.4
50672,230CPI60202507A,80,0,0,17.8
50236,230NPB10202507A,80,0,0,42.9
50274,230NPI10202507A,80,0,0,49.3
50751,230UPA10202507A,80,0,0,15.22
50422,232APE10202507A,80,0,0,3.7
50204,232BPE202507A,80,0,0,560.1
50784,232VPE10202507A,80,0,0,9.2
50277,235ABA10202507A,80,0,0,0.6
50233,235ABA12202507A,80,0,0,0.4
50787,235ABA20202507A,80,0,0,1.5
50721,235ABA22202507A,80,0,0,1.4
50720,235ABA30202507A,80,0,0,0.4
50556,235ABA32202507A,80,0,0,1
50252,235ATO10202507A,80,0,0,1.9
50356,235BBA202507A,80,0,0,675.5
50140,235BMA202507A,80,0,0,110.5
50155,235BPA202507A,80,0,0,602
50534,235BPE202507A,80,0,0,31.8
50569,235BPI202507A,80,0,0,449.1
50164,235BSE202507A,80,0,0,114.8
50533,235BTO202507A,80,0,0,337.1
50449,242ATO10202507A,80,0,0,2.8
50744,242BBA202507A,80,0,0,981.4
50239,242BMT202507A,80,0,0,821.2
50631,242BTO202507A,80,0,0,589.7
50488,242CBA10202507A,80,0,0,11.5
50681,251AGO10202507A,80,0,0,2
50499,251BBA202507A,80,0,0,250.6
50203,251BDF202507A,80,0,0,156.4
50733,251BGO202507A,80,0,0,463.2
50362,251BMG202507A,80,0,0,979.8
50390,251BMT202507A,80,0,0,656.7
50374,251NMG10202507A,80,0,0,45.6
50284,259AES10202507A,80,0,0,7.5
50193,259AMG10202507A,80,0,0,7.7
50696,259BES202507A,80,0,0,106.3
50454,259BMG202507A,80,0,0,590.75
50430,262AMG10202507A,80,0,0,2.5
50209,262BES202507A,80,0,0,196.5
50497,262BMG202507A,80,0,0,1022.8
50335,262BMS202507A,80,0,0,783.1
50434,262BSP202507A,80,0,0,322.1
50671,262CMG10202507A,80,0,0,6.2
50329,262CMS10202507A,80,0,0,16.2
50174,262NMG10202507A,80,0,0,66
50484,265AMG10202507A,80,0,0,5.3
50793,265AMG20202507A,80,0,0,2.4
50147,265BMG202507A,80,0,0,661.1
50795,265BSP202507A,80,0,0,259.2
50710,267AMS10202507A,80,0,0,5.8
50189,267BMG202507A,80,0,0,538.9
50772,267BMS202507A,80,0,0,691.2
50478,267BSP202507A,80,0,0,705.6
50511,272BPR202507A,80,0,0,572.1
50494,272BSP202507A,80,0,0,350.2
50411,277APR10202507A,80,0,0,2.9
50549,277APR20202507A,80,0,0,8.1
50531,277APR30202507A,80,0,0,13.3
50608,277APR40202507A,80,0,0,5.3
50745,277APR50202507A,80,0,0,15.8
50168,277BPR202507A,80,0,0,733.4
50330,277VPR10202507A,80,0,0,18.4
50224,280BPR202507A,80,0,0,326.8
50318,280BSC202507A,80,0,0,309.9
50702,280CSC10202507A,80,0,0,23.9
50320,282ASC10202507A,80,0,0,4.4
50814,282BSC202507A,80,0,0,684.2
50624,283BSC202507A,80,0,0,345.6
50498,285ARS10202507A,80,0,0,7.5
50297,285BRS202507A,80,0,0,674.8
50292,285BSC202507A,80,0,0,69.8
50169,287ARS10202507A,80,0,0,0.7
50279,287ARS20202507A,80,0,0,1.1
