id_trecho_,vl_br,sg_uf,nm_tipo_tr,sg_tipo_tr,desc_coinc,vl_codigo,ds_local_i,ds_local_f,vl_km_inic,vl_km_fina,vl_extensa,ds_sup_fed,ds_obra,ul,ds_coinc,ds_tipo_ad,ds_ato_leg,est_coinc,sup_est_co,ds_jurisdi,ds_superfi,ds_legenda,sg_legenda,leg_multim,versao_snv,id_versao,marcador,_UF_NE,__layer
156541,407,PI,Eixo Principal,B,Coinc,407BPI0053,CASTELO DO PIAUÍ,ENTR BR-226/407/PI-115,182.3,201.1,18.8,PLA,,,226BPI0730;407BPI0053,Estadual,,PI-115,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,PI,Diferencas_geometrias_SNV_202504A_202507A
156542,407,PI,Eixo Principal,B,-,407BPI0055,ENTR BR-226/407/PI-115,ENTR PI-321/R.INÁCIO CAETANO (SÃO MIGUEL DO TAPUIO),201.1,217.7,16.6,PLA,,,407BPI0055,Estadual,,PI-115,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,PI,Diferencas_geometrias_SNV_202504A_202507A
156712,420,BA,Eixo Principal,B,-,420BBA0095,ROD. ENG. VASCO FILHO/R.DOS RODOVIÁRIOS (SALVADOR),ENTR BR-324/420 (PORTO DE SALVADOR),92.2,96.5,4.3,DUP,,Feira de Santana,324ABA2005;420BBA0095,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|,BA,Diferencas_geometrias_SNV_202504A_202507A
156713,420,BA,Eixo Principal,B,-,420BBA0105,ENTR BR-324/420 (PORTO DE SALVADOR),FIM DA TRAVESSIA  BAIA DE TODOS OS SANTOS (ITAPARICA),96.5,110.8,14.3,TRV,,,420BBA0105,Federal,,,,Federal,N_PAV,Travessia,TRV,Travessia,202507A,80,|,BA,Diferencas_geometrias_SNV_202504A_202507A
156779,424,AL,Eixo Principal,B,-,424BAL0140,FIM PONTE S/RIO MUNDAUZINHO (DIV PE/AL),ACESSO NORTE CHÃ PRETA,0.0,9.2,9.2,PLA,,,424BAL0140,Estadual,,AL-470,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,AL,Diferencas_geometrias_SNV_202504A_202507A
158659,424,AL,Eixo Principal,B,-,424BAL0145,ACESSO NORTE CHÃ PRETA,ACESSO SUL CHÃ PRETA,9.2,12.6,3.4,PLA,,,424BAL0145,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|,AL,Diferencas_geometrias_SNV_202504A_202507A
158658,424,AL,Eixo Principal,B,-,424BAL0155,ENTR AL-210 (P/PAULO JACINTO),ACESSO OESTE VIÇOSA,22.6,24.5,1.9,PLA,,,424BAL0155,Estadual,,AL-110,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,AL,Diferencas_geometrias_SNV_202504A_202507A
158655,424,AL,Eixo Principal,B,-,424BAL0160,ACESSO OESTE VIÇOSA,ENTR AL-110 (ACESSO SUDOESTE VIÇOSA),24.5,28.3,3.8,PLA,,,424BAL0160,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|,AL,Diferencas_geometrias_SNV_202504A_202507A
164772,424,AL,Travessia Urbana,U,-,424UAL1005,ACESSO NORTE CHÃ PRETA,ACESSO SUL CHÃ PRETA,0.0,3.4,3.4,PLA,,,424UAL1005,Estadual,,AL-110,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,AL,Diferencas_geometrias_SNV_202504A_202507A
164773,424,AL,Travessia Urbana,U,-,424UAL2005,ACESSO OESTE VIÇOSA,ENTR AL-110 (VIÇOSA),0.0,4.3,4.3,PLA,,,424UAL2005,Estadual,,AL-110,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,AL,Diferencas_geometrias_SNV_202504A_202507A
164774,424,AL,Travessia Urbana,U,-,424UAL2010,ENTR AL-110 (VIÇOSA),ACESSO LESTE VIÇOSA,4.3,7.5,3.2,PLA,,,424UAL2010,Estadual,,AL-210,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,AL,Diferencas_geometrias_SNV_202504A_202507A
156881,430,BA,Eixo Principal,B,-,430BBA0060,LAGOA CLARA,ENTR BA-172/464 (SANTANA),132.3,194.4,62.1,PLA,,,430BBA0060,Estadual,,BA-464,LEN,Estadual,PLA,Planejada,PLA,Leito Natural,202507A,80,|,BA,Diferencas_geometrias_SNV_202504A_202507A
