id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint,BR_PAD,UF,KM_INI_SNV,KM_FIM_SNV,KM_INI_ARRED_SNV,__row_id_snv,KM_INI_SHP,KM_FIM_SHP,KM_INI_ARRED_SHP
020BBA0270,20,BR-20,BA,Eixo Principal,Barreiras,3514.0,3981.0,467.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|3514,BR-20,BA,3514.0,3981.0,3514,24,,,
020BBA0280,20,BR-20,BA,Eixo Principal,,3981.0,4646.0,665.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|BA|3981,BR-20,BA,3981.0,4646.0,3981,25,,,
020BBA0290,20,BR-20,BA,Eixo Principal,,4646.0,5467.0,821.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|4646,BR-20,BA,4646.0,5467.0,4646,26,,,
020BBA0300,20,BR-20,BA,Eixo Principal,,5467.0,6024.0,557.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|5467,BR-20,BA,5467.0,6024.0,5467,27,,,
020BBA0310,20,BR-20,BA,Eixo Principal,,6024.0,6424.0,400.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|6024,BR-20,BA,6024.0,6424.0,6024,28,,,
020BBA0320,20,BR-20,BA,Eixo Principal,,6424.0,6871.0,447.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|6424,BR-20,BA,6424.0,6871.0,6424,29,,,
020BBA0350,20,BR-20,BA,Eixo Principal,,6871.0,7723.0,852.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|6871,BR-20,BA,6871.0,7723.0,6871,30,,,
020BBA0360,20,BR-20,BA,Eixo Principal,Barreiras,7723.0,7841.0,118.0,N_PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|7723,BR-20,BA,7723.0,7841.0,7723,31,,,
020BCE0510,20,BR-20,CE,Eixo Principal,Boa Viagem,0.0,347.0,347.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|0,BR-20,CE,0.0,347.0,0,32,,,
020BCE0520,20,BR-20,CE,Eixo Principal,Boa Viagem,347.0,653.0,306.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|347,BR-20,CE,347.0,653.0,347,33,,,
