br_pad,km_total
BR-101,20641.0
BR-230,19543.0
BR-316,18089.0
BR-135,17706.0
BR-226,17150.0
BR-116,16632.0
BR-122,16549.0
BR-407,16311.0
BR-20,16204.0
BR-349,15357.0
BR-330,15169.0
BR-235,13722.0
BR-222,13206.0
BR-324,13155.0
BR-110,10727.0
BR-242,9864.0
BR-30,9422.0
BR-104,7526.0
BR-343,7428.0
BR-402,7194.0
