id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint
020BCE0520,20,BR-20,CE,Eixo Principal,Boa Viagem,347.0,653.0,306.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|347
020BCE0530,20,BR-20,CE,Eixo Principal,Boa Viagem,653.0,831.0,178.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|653
020BCE0540,20,BR-20,CE,Eixo Principal,Boa Viagem,831.0,1558.0,727.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|831
020BCE0550,20,BR-20,CE,Eixo Principal,Boa Viagem,1558.0,2032.0,474.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|1558
020BCE0560,20,BR-20,CE,Eixo Principal,Boa Viagem,2032.0,2391.0,359.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2032
020BCE0570,20,BR-20,CE,Eixo Principal,Boa Viagem,2391.0,2536.0,145.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2391
020BCE0580,20,BR-20,CE,Eixo Principal,Boa Viagem,2536.0,2799.0,263.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2536
020BCE0590,20,BR-20,CE,Eixo Principal,Boa Viagem,2799.0,3088.0,289.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2799
020BCE0600,20,BR-20,CE,Eixo Principal,Fortaleza,3088.0,3262.0,174.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3088
020BCE0610,20,BR-20,CE,Eixo Principal,Fortaleza,3262.0,3355.0,93.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3262
020BCE0630,20,BR-20,CE,Eixo Principal,Fortaleza,3355.0,3485.0,130.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3355
020BCE0640,20,BR-20,CE,Eixo Principal,Fortaleza,3485.0,3589.0,104.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3485
020BCE0650,20,BR-20,CE,Eixo Principal,Fortaleza,3589.0,4066.0,477.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3589
020BCE0665,20,BR-20,CE,Eixo Principal,,4066.0,4186.0,120.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|4066
020BPI0370,20,BR-20,PI,Eixo Principal,,0.0,546.0,546.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|0
020BPI0380,20,BR-20,PI,Eixo Principal,,546.0,598.0,52.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|546
020BPI0385,20,BR-20,PI,Eixo Principal,,598.0,929.0,331.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|598
020BPI0390,20,BR-20,PI,Eixo Principal,,929.0,1532.0,603.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|929
020BPI0400,20,BR-20,PI,Eixo Principal,,1532.0,1917.0,385.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|1532
020BPI0410,20,BR-20,PI,Eixo Principal,,1917.0,2174.0,257.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|1917
020BPI0415,20,BR-20,PI,Eixo Principal,Picos,2174.0,2192.0,18.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2174
020BPI0420,20,BR-20,PI,Eixo Principal,Picos,2192.0,2205.0,13.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2192
020BPI0425,20,BR-20,PI,Eixo Principal,Picos,2205.0,2210.0,5.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2205
020BPI0430,20,BR-20,PI,Eixo Principal,Picos,2210.0,2218.0,8.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2210
020BPI0435,20,BR-20,PI,Eixo Principal,Picos,2218.0,2275.0,57.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2218
020BPI0440,20,BR-20,PI,Eixo Principal,Picos,2275.0,2439.0,164.0,N_PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2275
020BPI0490,20,BR-20,PI,Eixo Principal,,2439.0,3307.0,868.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2439
020BPI0493,20,BR-20,PI,Eixo Principal,Picos,3307.0,3535.0,228.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|3307
020BPI0495,20,BR-20,PI,Eixo Principal,Picos,3535.0,4151.0,616.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|3535
030ABA1005,30,BR-30,BA,Acesso,Vitória da Conquista,0.0,11.0,11.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0
030ABA2005,30,BR-30,BA,Acesso,Vitória da Conquista,0.0,7.0,7.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0
030ABA3005,30,BR-30,BA,Acesso,Vitória da Conquista,0.0,39.0,39.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0
030ABA3010,30,BR-30,BA,Acesso,Vitória da Conquista,39.0,73.0,34.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|39
030ABA5005,30,BR-30,BA,Acesso,,0.0,39.0,39.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0
030ABA6005,30,BR-30,BA,Acesso,,0.0,29.0,29.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0
030BBA0227,30,BR-30,BA,Eixo Principal,Cocos,0.0,1915.0,1915.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0
