uf,sigla,pop_2022
Brasil,BR,203080756
Maranhão,MA,6776699
Piauí,PI,3271199
Ceará,CE,8794957
Rio Grande do Norte,RN,3302729
Paraíba,PB,3974687
Pernambuco,PE,9058931
Alagoas,AL,3127683
Sergipe,SE,2210004
Bahia,BA,14141626
