origem,N,tempo_medio_ponderado_h,p50_h,p80_h,p90_h
Recife-PE,500,8.992496957221602,10.402055555555556,14.012472222222222,18.49588888888889
Salvador-BA,500,11.435143146402348,11.307555555555554,17.883222222222223,18.254166666666666
